,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
88,88,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
89,89,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
90,90,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
91,91,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
92,92,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
93,93,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
94,94,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
95,95,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
96,96,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
97,97,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
